"service","initDate","endDate","availabilityService","availability"
"micro-evaluaciones","2023-09-23T17:16:05.611Z","2023-09-23T17:17:45.611Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:15:50.212Z","2023-09-23T17:17:30.212Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:15:35.110Z","2023-09-23T17:17:15.110Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:15:20.311Z","2023-09-23T17:17:00.311Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:15:05.611Z","2023-09-23T17:16:45.611Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:14:50.521Z","2023-09-23T17:16:30.521Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:14:35.111Z","2023-09-23T17:16:15.111Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:14:20.111Z","2023-09-23T17:16:00.111Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:14:05.211Z","2023-09-23T17:15:45.211Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:13:50.510Z","2023-09-23T17:15:30.510Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:13:35.110Z","2023-09-23T17:15:15.110Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:13:21.410Z","2023-09-23T17:15:01.410Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:13:05.411Z","2023-09-23T17:14:45.411Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:12:50.210Z","2023-09-23T17:14:30.210Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:12:35.210Z","2023-09-23T17:14:15.210Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:12:20.310Z","2023-09-23T17:14:00.310Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:12:05.111Z","2023-09-23T17:13:45.111Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:11:50.210Z","2023-09-23T17:13:30.210Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:11:35.110Z","2023-09-23T17:13:15.110Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:11:20.410Z","2023-09-23T17:13:00.410Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:11:05.111Z","2023-09-23T17:12:45.111Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:10:50.511Z","2023-09-23T17:12:30.511Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:10:35.111Z","2023-09-23T17:12:15.111Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:10:20.111Z","2023-09-23T17:12:00.111Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:10:05.271Z","2023-09-23T17:11:45.271Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:09:50.311Z","2023-09-23T17:11:30.311Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:09:35.410Z","2023-09-23T17:11:15.410Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:09:20.311Z","2023-09-23T17:11:00.311Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:09:05.063Z","2023-09-23T17:10:45.063Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:08:50.311Z","2023-09-23T17:10:30.311Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:08:35.067Z","2023-09-23T17:10:15.067Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:08:20.310Z","2023-09-23T17:10:00.310Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:08:05.611Z","2023-09-23T17:09:45.611Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:07:50.910Z","2023-09-23T17:09:30.910Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:07:35.410Z","2023-09-23T17:09:15.410Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:07:20.210Z","2023-09-23T17:09:00.210Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:07:05.510Z","2023-09-23T17:08:45.510Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:06:50.210Z","2023-09-23T17:08:30.210Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:06:35.711Z","2023-09-23T17:08:15.711Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:06:20.710Z","2023-09-23T17:08:00.710Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:06:06.211Z","2023-09-23T17:07:46.211Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:05:50.593Z","2023-09-23T17:07:30.593Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:05:35.210Z","2023-09-23T17:07:15.210Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:05:20.366Z","2023-09-23T17:07:00.366Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:05:05.311Z","2023-09-23T17:06:45.311Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:04:50.211Z","2023-09-23T17:06:30.211Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:04:36.210Z","2023-09-23T17:06:16.210Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:04:20.382Z","2023-09-23T17:06:00.382Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:04:05.710Z","2023-09-23T17:05:45.710Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:03:50.311Z","2023-09-23T17:05:30.311Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:03:35.113Z","2023-09-23T17:05:15.113Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:03:20.410Z","2023-09-23T17:05:00.410Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:03:05.310Z","2023-09-23T17:04:45.310Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:02:50.810Z","2023-09-23T17:04:30.810Z",NaN,NaN
"micro-evaluaciones","2023-09-23T17:02:35.311Z","2023-09-23T17:04:15.311Z",1,1
"micro-evaluaciones","2023-09-23T17:02:20.510Z","2023-09-23T17:04:00.510Z",1,1
"micro-evaluaciones","2023-09-23T17:02:05.511Z","2023-09-23T17:03:45.511Z",1,1
"micro-evaluaciones","2023-09-23T17:01:50.410Z","2023-09-23T17:03:30.410Z",0.9090909090909091,0.9090909090909091
"micro-evaluaciones","2023-09-23T17:01:35.147Z","2023-09-23T17:03:15.147Z",0.7692307692307693,0.7692307692307693
"micro-evaluaciones","2023-09-23T17:01:20.511Z","2023-09-23T17:03:00.511Z",0.6875,0.6875
"micro-evaluaciones","2023-09-23T17:01:05.510Z","2023-09-23T17:02:45.510Z",0.7222222222222222,0.7222222222222222
"micro-evaluaciones","2023-09-23T17:00:51.011Z","2023-09-23T17:02:31.011Z",0.7222222222222222,0.7222222222222222
"micro-evaluaciones","2023-09-23T17:00:35.111Z","2023-09-23T17:02:15.111Z",0.7222222222222222,0.7222222222222222
"micro-evaluaciones","2023-09-23T17:00:20.510Z","2023-09-23T17:02:00.510Z",0.6875,0.6875
"micro-evaluaciones","2023-09-23T17:00:05.150Z","2023-09-23T17:01:45.150Z",0.7417582417582418,0.7417582417582418
"micro-evaluaciones","2023-09-23T16:59:51.310Z","2023-09-23T17:01:31.310Z",0.9090909090909091,0.9090909090909091
"micro-evaluaciones","2023-09-23T16:59:36.111Z","2023-09-23T17:01:16.111Z",1,1
"micro-evaluaciones","2023-09-23T16:59:20.063Z","2023-09-23T17:01:00.063Z",1,1
"micro-evaluaciones","2023-09-23T16:59:08.010Z","2023-09-23T17:00:48.010Z",1,1
"micro-evaluaciones","2023-09-23T16:58:50.711Z","2023-09-23T17:00:30.711Z",NaN,NaN